Query,UTC DateTime,Response
turn on the lights,9/29/2017 20:34,"{""query"":""turn on the lights"",""intents"":[{""intent"":""TurnAllOn"",""score"":0.9889948},{""intent"":""None"",""score"":0.0108352816},{""intent"":""TurnAllOff"",""score"":0.005301792},{""intent"":""TurnOn"",""score"":0.00245596422},{""intent"":""TurnOff"",""score"":4.10938163E-08}],""entities"":[]}"
turn on the bright lights,9/29/2017 20:34,"{""query"":""turn on the right lights"",""alteredQuery"":""turn on the bright lights"",""intents"":[{""intent"":""TurnAllOn"",""score"":0.603661239},{""intent"":""None"",""score"":0.075539194},{""intent"":""TurnOn"",""score"":0.003661266},{""intent"":""TurnAllOff"",""score"":0.0005741862},{""intent"":""TurnOff"",""score"":3.981273E-07}],""entities"":[]}"
turn on the right lights,9/29/2017 20:35,"{""query"":""turn on the right lights"",""intents"":[{""intent"":""TurnAllOn"",""score"":0.347895622},{""intent"":""TurnOn"",""score"":0.108454391},{""intent"":""None"",""score"":0.025225265},{""intent"":""TurnAllOff"",""score"":0.0009089239},{""intent"":""TurnOff"",""score"":1.65414576E-07}],""entities"":[]}"
turn on the floor lights,9/29/2017 20:36,"{""query"":""turn on the floor lights"",""intents"":[{""intent"":""TurnOn"",""score"":0.277672619},{""intent"":""TurnAllOn"",""score"":0.0830827355},{""intent"":""None"",""score"":0.0562051721},{""intent"":""TurnAllOff"",""score"":0.000275984028},{""intent"":""TurnOff"",""score"":5.61292654E-05}],""entities"":[{""entity"":""floor"",""type"":""Light"",""startIndex"":12,""endIndex"":16,""score"":0.749006152}]}"
turn on the floor light,9/29/2017 20:36,"{""query"":""turn on the floor light"",""intents"":[{""intent"":""TurnOn"",""score"":0.894885},{""intent"":""None"",""score"":0.021146642},{""intent"":""TurnAllOn"",""score"":0.0137594249},{""intent"":""TurnOff"",""score"":0.0007244963},{""intent"":""TurnAllOff"",""score"":6.63580649E-05}],""entities"":[{""entity"":""floor"",""type"":""Light"",""startIndex"":12,""endIndex"":16,""score"":0.9932435}]}"
turn on the right light,9/29/2017 20:36,"{""query"":""turn on the right light"",""intents"":[{""intent"":""TurnOn"",""score"":0.810779631},{""intent"":""TurnAllOn"",""score"":0.0676791},{""intent"":""None"",""score"":0.00718898373},{""intent"":""TurnAllOff"",""score"":0.000192625652},{""intent"":""TurnOff"",""score"":2.16165222E-06}],""entities"":[{""entity"":""right"",""type"":""Light"",""startIndex"":12,""endIndex"":16,""score"":0.7551466}]}"
turn on the left light,9/29/2017 20:36,"{""query"":""turn on the left light"",""intents"":[{""intent"":""TurnOn"",""score"":0.9687566},{""intent"":""TurnAllOn"",""score"":0.0226692148},{""intent"":""None"",""score"":0.0009280281},{""intent"":""TurnAllOff"",""score"":0.000169799212},{""intent"":""TurnOff"",""score"":2.886446E-06}],""entities"":[{""entity"":""left"",""type"":""Light"",""startIndex"":12,""endIndex"":15,""score"":0.957022846}]}"
turn on the left light,9/29/2017 20:48,"{""query"":""turn on the left light"",""intents"":[{""intent"":""TurnOn"",""score"":0.9687566},{""intent"":""TurnAllOn"",""score"":0.0226692148},{""intent"":""None"",""score"":0.0009280281},{""intent"":""TurnAllOff"",""score"":0.000169799212},{""intent"":""TurnOff"",""score"":2.886446E-06}],""entities"":[{""entity"":""left"",""type"":""Light"",""startIndex"":12,""endIndex"":15,""score"":0.957022846}]}"
turn on the left light,9/29/2017 20:56,"{""query"":""turn on the left light"",""intents"":[{""intent"":""TurnOn"",""score"":0.9687566},{""intent"":""TurnAllOn"",""score"":0.0226692148},{""intent"":""None"",""score"":0.0009280281},{""intent"":""TurnAllOff"",""score"":0.000169799212},{""intent"":""TurnOff"",""score"":2.886446E-06}],""entities"":[{""entity"":""left"",""type"":""Light"",""startIndex"":12,""endIndex"":15,""score"":0.957022846}]}"
turn off the floor light,9/29/2017 21:13,"{""query"":""turn off the floor light"",""intents"":[{""intent"":""TurnOff"",""score"":0.9634251},{""intent"":""TurnAllOff"",""score"":0.1544946},{""intent"":""None"",""score"":0.04841961},{""intent"":""TurnOn"",""score"":3.66578E-05},{""intent"":""TurnAllOn"",""score"":4.448826E-06}],""entities"":[{""entity"":""floor"",""type"":""Light"",""startIndex"":13,""endIndex"":17,""score"":0.987479746}]}"
turn on the right lighttimezoneoffset=0,9/29/2017 21:32,"{""query"":""turn on the right lighttimezoneOffset=0"",""intents"":[{""intent"":""None"",""score"":0.468006462},{""intent"":""TurnOn"",""score"":0.369570553},{""intent"":""TurnAllOn"",""score"":0.00039646987},{""intent"":""TurnOff"",""score"":5.4621496E-06},{""intent"":""TurnAllOff"",""score"":2.37417862E-06}],""entities"":[]}"
turn on the right lighttimezoneoffset=0,9/29/2017 21:32,"{""query"":""turn on the right lighttimezoneOffset=0"",""intents"":[{""intent"":""None"",""score"":0.468006462},{""intent"":""TurnOn"",""score"":0.369570553},{""intent"":""TurnAllOn"",""score"":0.00039646987},{""intent"":""TurnOff"",""score"":5.4621496E-06},{""intent"":""TurnAllOff"",""score"":2.37417862E-06}],""entities"":[]}"
